Address;USB0::0x0957::0x1724::MY45003122::0::INSTR;
Model;DSO6014A;
Serial Number:;MY45003122;
Firmware Version;06.20.0000;
Start Time;2017-08-17 21:39:37.876;
Stop Time;2017-08-17 22:32:24.377;
Sample Period;0,5;
;;
Time (s);RMS(1) ();RMS(2) ()
2017-08-17 21:43:31.876;222,9;0,1886
2017-08-17 21:43:32.376;222,9;0,1879
2017-08-17 21:43:32.876;222,8;0,1869
2017-08-17 21:43:33.376;222,9;0,1872
2017-08-17 21:43:33.876;222,8;0,1849
2017-08-17 21:43:34.376;222,5;0,1878
2017-08-17 21:43:34.877;223;0,1886
2017-08-17 21:43:35.377;222,8;0,1895
2017-08-17 21:43:35.876;222,6;0,1866
2017-08-17 21:43:36.376;222,4;0,1887
2017-08-17 21:43:36.876;222,5;0,1879
2017-08-17 21:43:37.376;222,6;0,1887
2017-08-17 21:43:37.876;222,8;0,1876
2017-08-17 21:43:38.376;222,7;0,1888
2017-08-17 21:43:38.876;222,9;0,1873
2017-08-17 21:43:39.376;222,5;0,1878
2017-08-17 21:43:39.876;222,6;0,1881
2017-08-17 21:43:40.376;222,4;0,1867
2017-08-17 21:43:40.876;222,6;0,1901
2017-08-17 21:43:41.376;222,8;0,1878
2017-08-17 21:43:41.877;222,8;0,1863
2017-08-17 21:43:42.377;222,6;0,1897
2017-08-17 21:43:42.876;222,5;0,1854
2017-08-17 21:43:43.377;222,7;0,188
2017-08-17 21:43:43.877;222,7;0,1882
2017-08-17 21:43:44.377;222,7;0,1883
2017-08-17 21:43:44.877;222,7;0,1876
2017-08-17 21:43:45.377;222,8;0,1876
2017-08-17 21:43:45.877;223;0,1889
2017-08-17 21:43:46.377;222,7;0,1899
2017-08-17 21:43:46.877;222,8;0,1848
2017-08-17 21:43:47.377;222,7;0,1869
2017-08-17 21:43:47.878;222,9;0,1881
2017-08-17 21:43:48.377;222,8;0,188
2017-08-17 21:43:48.876;222,9;0,1912
2017-08-17 21:43:49.377;222,9;0,1861
2017-08-17 21:43:49.877;223,1;0,188
2017-08-17 21:43:50.376;222,9;0,1889
2017-08-17 21:43:50.876;223;0,1881
2017-08-17 21:43:51.376;222,8;0,1865
2017-08-17 21:43:51.876;222,8;0,1834
2017-08-17 21:43:52.376;222,8;0,1883
2017-08-17 21:43:52.877;222,7;0,1887
2017-08-17 21:43:53.378;223;0,1876
2017-08-17 21:43:53.876;222,8;0,1876
2017-08-17 21:43:54.376;222,8;0,1881
2017-08-17 21:43:54.876;222,9;0,1868
2017-08-17 21:43:55.376;223;0,1858
2017-08-17 21:43:55.876;223,1;0,1877
2017-08-17 21:43:56.376;223,1;0,1872
2017-08-17 21:43:56.876;222,7;0,1846
2017-08-17 21:43:57.376;223,1;0,1901
2017-08-17 21:43:57.876;223,2;0,1893
2017-08-17 21:43:58.376;223;0,1878
2017-08-17 21:43:58.876;222,7;0,1875
2017-08-17 21:43:59.376;222,8;0,188
2017-08-17 21:43:59.876;222,8;0,1895
2017-08-17 21:44:00.376;222,6;0,188
2017-08-17 21:44:00.877;223,2;0,1871
2017-08-17 21:44:01.377;222,7;0,1883
2017-08-17 21:44:01.877;222,4;0,1874
2017-08-17 21:44:02.377;222,8;0,1883
2017-08-17 21:44:02.877;222,7;0,1878
2017-08-17 21:44:03.377;223;0,1876
2017-08-17 21:44:03.877;222,9;0,1872
2017-08-17 21:44:04.376;222,8;0,1878
2017-08-17 21:44:04.876;222,9;0,1893
2017-08-17 21:44:05.376;222,6;0,1896
2017-08-17 21:44:05.877;222,9;0,1861
2017-08-17 21:44:06.377;222,9;0,1887
2017-08-17 21:44:06.877;223;0,1875
2017-08-17 21:44:07.376;223;0,1906
2017-08-17 21:44:07.876;222,9;0,1895
2017-08-17 21:44:08.376;222,8;0,1868
2017-08-17 21:44:08.876;222,8;0,1876
2017-08-17 21:44:09.376;222,9;0,1881
2017-08-17 21:44:09.876;222,5;0,1872
2017-08-17 21:44:10.376;222,7;0,1875
2017-08-17 21:44:10.876;222,6;0,1874
2017-08-17 21:44:11.377;222,7;0,1859
2017-08-17 21:44:11.877;222,6;0,1806
2017-08-17 21:44:12.376;222,8;0,18
2017-08-17 21:44:12.876;222,5;0,1818
