operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;0;2;30;45.3;4.54
randwrite;32;0;2;31;47.5;4.55
randwrite;32;0;2;32;43.1;4.55
randwrite;32;0;2;33;44.2;4.59
randwrite;32;0;2;34;45.7;4.53
randwrite;32;0;2;35;45.0;4.56
randwrite;32;0;2;36;44.2;4.56
randwrite;32;0;2;37;42.7;4.84
randwrite;32;0;2;38;41.1;4.55
randwrite;32;0;2;39;41.0;4.54
randwrite;32;0;2;40;41.2;4.55
randwrite;32;0;2;41;42.8;4.56
randwrite;32;0;2;42;42.1;4.56
randwrite;32;0;2;43;41.4;4.56
randwrite;32;0;2;44;40.6;4.54
randwrite;32;0;2;45;42.4;4.56
randwrite;32;0;2;46;41.9;4.59
randwrite;32;0;2;47;40.6;4.56
randwrite;32;0;2;48;39.9;4.56
randwrite;32;0;2;49;40.9;4.54
randwrite;32;0;2;50;41.1;4.55
randwrite;32;0;2;51;40.3;4.55
randwrite;32;0;2;52;40.5;4.55
randwrite;32;0;2;53;40.2;4.55
randwrite;32;0;2;54;39.1;4.54
randwrite;32;0;2;55;39.4;4.54
randwrite;32;0;2;56;39.8;4.56
randwrite;32;0;2;57;41.6;4.55
randwrite;32;0;2;58;40.6;4.56
randwrite;32;0;2;59;40.0;4.55
randwrite;32;0;3;0;39.6;4.57
randwrite;32;0;3;1;37.5;4.31
randwrite;32;0;3;2;38.1;4.31
randwrite;32;0;3;3;39.5;4.36
randwrite;32;0;3;4;38.5;4.33
randwrite;32;0;3;5;38.9;4.33
randwrite;32;0;3;6;39.3;4.33
randwrite;32;0;3;7;38.9;4.35
randwrite;32;0;3;8;38.3;4.32
randwrite;32;0;3;9;37.8;4.33
randwrite;32;0;3;10;38.5;4.39
randwrite;32;0;3;11;38.8;4.34
randwrite;32;0;3;12;38.7;4.39
randwrite;32;0;3;13;38.3;4.41
randwrite;32;0;3;14;37.7;4.43
randwrite;32;0;3;15;38.3;4.43
randwrite;32;0;3;16;38.8;4.36
randwrite;32;0;3;17;38.2;4.32
randwrite;32;0;3;18;37.4;4.28
randwrite;32;0;3;19;39.7;4.31
randwrite;32;0;3;20;38.4;4.28
randwrite;32;0;3;21;38.1;4.18
randwrite;32;0;3;22;37.7;4.22
randwrite;32;0;3;23;38.1;4.31
randwrite;32;0;3;24;38.9;4.39
randwrite;32;0;3;25;37.3;4.32
randwrite;32;0;3;26;39.1;4.33
randwrite;32;0;3;27;38.7;4.34
randwrite;32;0;3;28;39.0;4.28
randwrite;32;0;3;29;39.6;4.3
randwrite;32;0;3;30;38.5;4.25
