operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;0;4;2;36.7;4.52
randwrite;32;0;4;3;37.8;4.57
randwrite;32;0;4;4;39.8;4.57
randwrite;32;0;4;5;37.8;4.57
randwrite;32;0;4;6;36.1;4.58
randwrite;32;0;4;7;36.2;4.57
randwrite;32;0;4;8;37.1;4.57
randwrite;32;0;4;9;36.6;4.57
randwrite;32;0;4;10;36.9;4.57
randwrite;32;0;4;11;36.5;4.55
randwrite;32;0;4;12;37.5;4.56
randwrite;32;0;4;13;37.3;4.55
randwrite;32;0;4;14;36.6;4.58
randwrite;32;0;4;15;39.0;4.61
randwrite;32;0;4;16;36.7;4.58
randwrite;32;0;4;17;36.0;4.57
randwrite;32;0;4;18;37.0;4.58
randwrite;32;0;4;19;37.0;4.56
randwrite;32;0;4;20;36.3;4.58
randwrite;32;0;4;21;37.0;4.57
randwrite;32;0;4;22;36.0;4.58
randwrite;32;0;4;23;36.2;4.57
randwrite;32;0;4;24;36.5;4.56
randwrite;32;0;4;25;36.4;4.56
randwrite;32;0;4;26;36.2;4.58
randwrite;32;0;4;27;38.3;4.55
randwrite;32;0;4;28;40.3;4.57
randwrite;32;0;4;29;41.6;4.56
randwrite;32;0;4;30;37.8;4.55
randwrite;32;0;4;31;36.3;4.55
randwrite;32;0;4;32;37.2;4.53
randwrite;32;0;4;33;36.1;4.56
randwrite;32;0;4;34;35.8;4.57
randwrite;32;0;4;35;37.5;4.57
randwrite;32;0;4;36;35.9;4.57
randwrite;32;0;4;37;36.1;4.55
randwrite;32;0;4;38;36.5;4.57
randwrite;32;0;4;39;38.3;4.57
randwrite;32;0;4;40;38.1;4.58
randwrite;32;0;4;41;35.8;4.56
randwrite;32;0;4;42;38.2;4.57
randwrite;32;0;4;43;38.9;4.56
randwrite;32;0;4;44;37.7;4.59
randwrite;32;0;4;45;36.4;4.57
randwrite;32;0;4;46;36.5;4.56
randwrite;32;0;4;47;37.7;4.54
randwrite;32;0;4;48;36.6;4.57
randwrite;32;0;4;49;36.3;4.56
randwrite;32;0;4;50;39.3;4.56
randwrite;32;0;4;51;39.3;4.57
randwrite;32;0;4;52;36.5;4.56
randwrite;32;0;4;53;37.1;4.59
randwrite;32;0;4;54;38.3;4.56
randwrite;32;0;4;55;38.5;4.54
randwrite;32;0;4;56;36.1;4.54
randwrite;32;0;4;57;37.4;4.57
randwrite;32;0;4;58;36.8;4.58
randwrite;32;0;4;59;37.0;4.55
read;32;0;1;0;35.5;4.51
read;32;0;1;1;34.5;4.2
read;32;0;1;2;34.2;4.17
read;32;0;1;3;34.8;4.16
read;32;0;1;4;34.6;4.12
read;32;0;1;5;34.3;4.2
read;32;0;1;6;34.1;4.19
read;32;0;1;7;34.6;4.17
read;32;0;1;8;34.4;4.13
read;32;0;1;9;34.3;4.11
read;32;0;1;10;34.3;4.08
read;32;0;1;11;34.3;4.1
read;32;0;1;12;35.3;4.12
read;32;0;1;13;36.8;4.15
read;32;0;1;14;36.1;4.09
read;32;0;1;15;34.3;4.15
read;32;0;1;16;34.7;4.11
read;32;0;1;17;34.5;4.12
read;32;0;1;18;34.8;4.15
read;32;0;1;19;34.3;4.18
read;32;0;1;20;34.2;4.17
read;32;0;1;21;34.6;4.12
read;32;0;1;22;35.0;4.14
read;32;0;1;23;34.6;4.19
read;32;0;1;24;34.4;4.12
read;32;0;1;25;34.5;4.01
read;32;0;1;26;35.4;4.1
read;32;0;1;27;34.8;4.16
read;32;0;1;28;34.1;4.16
read;32;0;1;29;34.4;4.15
read;32;0;1;30;34.0;4.08
read;32;0;1;31;34.1;4.13
read;32;0;1;32;34.5;4.19
read;32;0;1;33;34.4;4.26
read;32;0;1;34;34.3;4.17
read;32;0;1;35;34.8;4.17
read;32;0;1;36;34.0;4.32
read;32;0;1;37;34.2;4.28
read;32;0;1;38;34.3;4.19
read;32;0;1;39;34.2;4.15
read;32;0;1;40;34.3;4.16
read;32;0;1;41;33.9;4.17
read;32;0;1;42;34.0;4.19
read;32;0;1;43;35.1;4.19
read;32;0;1;44;34.2;4.2
read;32;0;1;45;34.3;4.19
read;32;0;1;46;34.3;4.33
read;32;0;1;47;34.1;4.28
read;32;0;1;48;35.3;4.24
read;32;0;2;0;35.3;4.48
read;32;0;2;1;35.0;4.23
read;32;0;2;2;34.6;4.06
read;32;0;2;3;34.7;4.17
read;32;0;2;4;35.1;4.26
read;32;0;2;5;34.7;4.14
read;32;0;2;6;34.1;4.13
read;32;0;2;7;35.2;4.14
read;32;0;2;8;35.4;4.16
read;32;0;2;9;34.8;4.11
read;32;0;2;10;34.5;4.16
read;32;0;2;11;34.1;4.19
read;32;0;2;12;33.9;4.21
read;32;0;2;13;34.1;4.14
read;32;0;2;14;35.6;4.07
read;32;0;2;15;34.7;4.04
read;32;0;2;16;34.1;4.16
